Names,Total Following
ABDULKAREEM MUSTAPHA,6
ADEBAYO OLUWASEUN,1
Abigail Jibril,6
Abraham Ekekhor,1
Abubakar omolaja,2
Adenike Salau,6
Aderoju Olaitan,13
Adewunmi Idowu,5
Adeyemi Aidi,1
Aka David Emeka,1
Akomolafe Ayoyinka,1
Alao Kolapo,7
Amadi Onengiye Williams,84
Ayanfeoluwa Ibitoye,5
Ayobami Oguntolu,1
Ayodeji Sokan,3
Benjamin Bala,15
Beracah Etok,8
Bimbola Segun-Amao,5
Bindas Samuel,4
Bright Mebitaghan,1
CHARLES EFFIONG,1
CHIKA Ogbu,18
CHUKWUEMEKA IBEBUGWU,6
Chiamaka Honor Osuji,26
Chimezie Solomon,3
David Archibong,2
David Asiegbu,1
Deborah Briggs,8
Deji Aroloye,2
Dennis Etiwe,6
Dennis O,9
Duke Sanmi,4
Ebuka Charles,13
Edmund Ekott,8
Elijah Okokon,1
Emike Dan,2
Emmanuel A Adebayo,1
Emmanuel Ekeoma,12
Eneanya Onyekachi,6
Eniayomi Oluwaseyi,3
Eniola fanegan,8
Eno Ekanem,6
Essien Daniel,2
Esther Adeyi,7
Faith Egwuenu,14
Francis Obasi,1
Gabrielle Kurah,12
Gideon Ofoegbu,2
Gloria Chinedu,6
Gradia Mutambay,9
Hermann Poka Tchoneng,4
IMOH ESSIET,11
ITing Concept,5
Ibrahim Gana,24
Ibrahim Oladele,2
Idongesit Essien,10
Incolet,4
Iretioluwa Olawuyi,1
Iwoba Tariah,1
Jeffrey Ogah,12
Jonathan Owah,14
Joseph Etim,4
Joshua Akinsola,9
Joshua Erondu,2
Kayode Gabriel Abiodun,11
Lami Williams,5
Lawal Tomiwa,3
Lucid Lucid,1
Malik Abdulaziz,3
Manasseh C. Bassey,2
Mark Essien,4
Marshal David,10
Martini Mabifa,1
Meed Ubarab,7
Michael Anderson,11
Mogbitse Okitikpi,6
Moshood Aderibigbe,1
Motunrayo Da-costa,3
Naomi Anthony,2
Naomi Ebong,1
Nefe Emadamerho,4
Nkem O,4
Nnadozie Alozie,1
Nseari Ndifon,14
Nte Matthew,1
OLOYE Oluwadara,1
Obed Muyiwa,5
Ojodale Udale-Ameh,4
Okafor Esther,6
Okiki Joshua Mayowa,11
Oladimeji Daniel,6
Olasumbo Afolabi,9
Olu Ajayi,1
Oluomachi Cynthia,1
Olusegun Ekoh,3
Oluwakemi Richard,9
Oluwaseyi Oluwapelumi,12
Onyenma Victor,7
Osas Jackson,2
Oyelaja Hussein,24
Oyero Oluwatosin,4
Paul Stylish,1
Peter Ipoola,1
Philip Onyeador,4
Priscilla Achizue,17
Rebecca Uchendu,1
Richard Kalu,1
Richard Saseun,5
Roseline Ngam,1
Sado Idris Erick,1
Seyi Onifade,1
Sholly Great,2
Sooter Saalu,6
Stephen Ajose,2
Tosin Olunloyo,1
UDENKWOR NKECHI,6
Uche Chukwuemelie,6
Victor Usoro,1
Wilfred Omuvwie,3
Yinka,1
Yusuf Adeyemo,16
adaugo oku,13
adekanye timilehin,3
adeleke zaccheus,1
ademola adebiyi,1
adesanmi adedayo,1
ahmed adegoke,1
aminat situ,7
andreu fraiku,3
chukwuemeka anyanwu,1
damilola onasanya,5
david adekwu,2
folarin kamar,11
idiaghe osaigbovo,1
lateef raji,4
mamus eferha,7
martins kachi,13
nkwocha chibueze,6
okpako moses,1
olajide ismail,17
oluwajuwon fawole,5
paul awe,14
peta idehen,1
samuel temitope,5
saudat salawudeen,11
temitope akangbe,8
tim fin,2
tochukwu lemuel,21
ugochukwu nwajagu,1
ukadike ochem,104
